username,window_id,start_time,end_time,failed_logins,successful_logins,sudo_count,session_open_count,invalid_user_attempts,external_ip_count,avg_hour,std_hour,distinct_users,distinct_ips,off_hours_events,duration_seconds,label
jwalker,jwalker_0_0,2026-04-01 09:03:00,2026-04-02 10:05:00,0,4,0,4,0,0,11.87,2.29,1,1,0,90120,0
jwalker,jwalker_0_1,2026-04-02 11:03:00,2026-04-03 11:54:00,0,1,0,1,0,0,12.26,2.07,1,1,0,89460,0
jwalker,jwalker_0_2,2026-04-03 12:52:00,2026-04-04 13:55:00,0,2,0,2,0,0,12.63,2.0,1,1,0,90180,0
jwalker,jwalker_0_3,2026-04-04 14:53:00,2026-04-05 15:51:00,0,2,0,2,0,0,13.05,2.31,1,1,0,89880,0
jwalker,jwalker_0_4,2026-04-06 09:09:00,2026-04-07 09:58:00,0,2,0,2,0,0,11.92,2.34,1,1,0,89340,0
jwalker,jwalker_0_5,2026-04-07 10:56:00,2026-04-08 11:56:00,0,3,0,3,0,0,12.2,2.02,1,1,0,90000,0
jwalker,jwalker_0_6,2026-04-08 12:54:00,2026-04-09 13:54:00,0,2,0,2,0,0,12.63,2.02,1,1,0,90000,0
jwalker,jwalker_0_7,2026-04-09 14:52:00,2026-04-10 15:51:00,0,1,0,1,0,0,13.04,2.3,1,1,0,89940,0
jwalker,jwalker_0_8,2026-04-11 09:05:00,2026-04-12 10:08:00,0,2,0,2,0,0,11.9,2.29,1,1,0,90180,0
jwalker,jwalker_0_9,2026-04-12 11:06:00,2026-04-13 11:59:00,0,3,0,3,0,0,12.32,2.06,1,1,0,89580,0
jwalker,jwalker_0_10,2026-04-13 12:57:00,2026-04-14 13:52:00,0,1,0,1,0,0,12.63,2.05,1,1,0,89700,0
