username,window_id,start_time,end_time,failed_logins,successful_logins,sudo_count,session_open_count,invalid_user_attempts,external_ip_count,avg_hour,std_hour,distinct_users,distinct_ips,off_hours_events,duration_seconds,label
dcarter,dcarter_0_0,2026-04-01 08:25:00,2026-04-01 14:17:00,0,3,0,3,0,0,10.96,2.62,1,1,0,21120,0
dcarter,dcarter_0_1,2026-04-01 14:22:00,2026-04-02 14:05:00,0,2,0,2,0,0,11.08,2.58,1,1,0,85380,0
dcarter,dcarter_0_2,2026-04-02 14:10:00,2026-04-03 09:24:00,0,1,0,1,0,0,11.11,2.61,1,1,0,69240,0
dcarter,dcarter_0_3,2026-04-03 13:57:00,2026-04-04 08:57:00,0,3,0,3,0,0,11.97,2.68,1,1,0,68400,0
dcarter,dcarter_0_4,2026-04-04 09:07:00,2026-04-06 08:38:00,0,7,0,7,0,0,8.86,0.31,1,1,0,171060,0
dcarter,dcarter_0_5,2026-04-06 08:48:00,2026-04-06 14:24:00,0,1,0,1,0,0,12.13,2.52,1,1,0,20160,0
dcarter,dcarter_0_6,2026-04-07 08:26:00,2026-04-07 14:14:00,0,5,0,5,0,0,10.95,2.59,1,1,0,20880,0
dcarter,dcarter_0_7,2026-04-07 14:19:00,2026-04-08 14:05:00,0,2,0,2,0,0,11.04,2.59,1,1,0,85560,0
dcarter,dcarter_0_8,2026-04-08 14:10:00,2026-04-09 09:20:00,0,2,0,2,0,0,11.07,2.64,1,1,0,69000,0
dcarter,dcarter_0_9,2026-04-09 13:58:00,2026-04-10 09:05:00,0,3,0,3,0,0,12.04,2.62,1,1,0,68820,0
dcarter,dcarter_0_10,2026-04-10 09:15:00,2026-04-11 08:35:00,0,4,0,4,0,0,12.13,2.64,1,1,0,84000,0
dcarter,dcarter_0_11,2026-04-11 08:45:00,2026-04-12 09:21:00,0,2,0,2,0,0,8.96,0.25,1,1,0,88560,0
dcarter,dcarter_0_12,2026-04-13 08:28:00,2026-04-13 14:15:00,0,2,0,2,0,0,10.98,2.58,1,1,0,20820,0
dcarter,dcarter_0_13,2026-04-13 14:20:00,2026-04-14 14:06:00,0,2,0,2,0,0,11.0,2.64,1,1,0,85560,0
jwalker,jwalker_0_0,2026-04-01 09:03:00,2026-04-02 10:05:00,0,4,0,4,0,0,11.87,2.29,1,1,0,90120,0
jwalker,jwalker_0_1,2026-04-02 11:03:00,2026-04-03 11:54:00,0,1,0,1,0,0,12.26,2.07,1,1,0,89460,0
jwalker,jwalker_0_2,2026-04-03 12:52:00,2026-04-04 13:55:00,0,2,0,2,0,0,12.63,2.0,1,1,0,90180,0
jwalker,jwalker_0_3,2026-04-04 14:53:00,2026-04-05 15:51:00,0,2,0,2,0,0,13.05,2.31,1,1,0,89880,0
jwalker,jwalker_0_4,2026-04-06 09:09:00,2026-04-07 09:58:00,0,2,0,2,0,0,11.92,2.34,1,1,0,89340,0
jwalker,jwalker_0_5,2026-04-07 10:56:00,2026-04-08 11:56:00,0,3,0,3,0,0,12.2,2.02,1,1,0,90000,0
jwalker,jwalker_0_6,2026-04-08 12:54:00,2026-04-09 13:54:00,0,2,0,2,0,0,12.63,2.02,1,1,0,90000,0
jwalker,jwalker_0_7,2026-04-09 14:52:00,2026-04-10 15:51:00,0,1,0,1,0,0,13.04,2.3,1,1,0,89940,0
jwalker,jwalker_0_8,2026-04-11 09:05:00,2026-04-12 10:08:00,0,2,0,2,0,0,11.9,2.29,1,1,0,90180,0
jwalker,jwalker_0_9,2026-04-12 11:06:00,2026-04-13 11:59:00,0,3,0,3,0,0,12.32,2.06,1,1,0,89580,0
jwalker,jwalker_0_10,2026-04-13 12:57:00,2026-04-14 13:52:00,0,1,0,1,0,0,12.63,2.05,1,1,0,89700,0
sahmed,sahmed_0_0,2026-04-01 09:17:00,2026-04-01 13:13:00,0,3,0,3,0,0,10.77,1.54,1,1,0,14160,0
sahmed,sahmed_0_1,2026-04-01 13:21:00,2026-04-01 16:24:00,0,3,0,3,0,0,15.14,1.3,1,1,0,10980,0
sahmed,sahmed_0_2,2026-04-01 16:29:00,2026-04-02 13:08:00,0,2,0,2,0,0,11.12,2.22,1,1,0,74340,0
sahmed,sahmed_0_3,2026-04-02 13:16:00,2026-04-02 16:17:00,0,2,0,2,0,0,14.82,1.3,1,1,0,10860,0
sahmed,sahmed_0_4,2026-04-02 16:22:00,2026-04-03 12:55:00,0,2,0,2,0,0,11.4,2.69,1,1,0,73980,0
sahmed,sahmed_0_5,2026-04-03 13:03:00,2026-04-03 16:19:00,0,3,0,3,0,0,14.51,1.39,1,1,0,11760,0
sahmed,sahmed_0_6,2026-04-03 16:24:00,2026-04-04 10:19:00,0,1,0,1,0,0,11.82,3.07,1,1,0,64500,0
sahmed,sahmed_0_7,2026-04-05 09:17:00,2026-04-06 09:40:00,0,2,0,2,0,0,9.7,0.32,1,1,0,87780,0
sahmed,sahmed_0_8,2026-04-06 09:50:00,2026-04-06 13:37:00,0,3,0,3,0,0,12.0,1.58,1,1,0,13620,0
sahmed,sahmed_0_9,2026-04-06 13:45:00,2026-04-07 09:27:00,0,2,0,2,0,0,14.59,2.71,1,1,0,70920,0
sahmed,sahmed_0_10,2026-04-07 09:37:00,2026-04-07 13:30:00,0,2,0,2,0,0,11.59,1.66,1,1,0,13980,0
sahmed,sahmed_0_11,2026-04-07 13:38:00,2026-04-08 09:19:00,0,2,0,2,0,0,15.02,2.15,1,1,0,70860,0
sahmed,sahmed_0_12,2026-04-08 09:29:00,2026-04-08 13:20:00,0,3,0,3,0,0,11.19,1.6,1,1,0,13860,0
sahmed,sahmed_0_13,2026-04-08 13:28:00,2026-04-08 16:32:00,0,2,0,2,0,0,15.48,1.24,1,1,0,11040,0
sahmed,sahmed_0_14,2026-04-09 09:11:00,2026-04-09 13:12:00,0,4,0,4,0,0,10.7,1.58,1,1,0,14460,0
sahmed,sahmed_0_15,2026-04-09 13:20:00,2026-04-09 16:21:00,0,2,0,2,0,0,15.1,1.29,1,1,0,10860,0
sahmed,sahmed_0_16,2026-04-09 16:26:00,2026-04-10 13:13:00,0,2,0,2,0,0,11.14,2.22,1,1,0,74820,0
sahmed,sahmed_0_17,2026-04-10 13:21:00,2026-04-10 16:17:00,0,4,0,4,0,0,14.87,1.26,1,1,0,10560,0
sahmed,sahmed_0_18,2026-04-10 16:22:00,2026-04-12 09:11:00,0,4,0,4,0,0,10.98,2.73,1,1,0,146940,0
sahmed,sahmed_0_19,2026-04-12 09:21:00,2026-04-13 09:43:00,0,3,0,3,0,0,9.65,0.29,1,1,0,87720,0
sahmed,sahmed_0_20,2026-04-13 09:53:00,2026-04-13 13:53:00,0,2,0,2,0,0,12.45,1.59,1,1,0,14400,0
sahmed,sahmed_0_21,2026-04-13 16:05:00,2026-04-14 09:30:00,0,3,0,3,0,0,14.23,3.21,1,1,0,62700,0
sahmed,sahmed_0_22,2026-04-14 09:40:00,2026-04-14 13:42:00,0,2,0,2,0,0,11.99,1.7,1,1,0,14520,0
sahmed,sahmed_0_23,2026-04-14 13:50:00,2026-04-14 16:34:00,0,2,0,2,0,0,16.01,0.84,1,1,0,9840,0
